,dayofweek,hour,visits,goal_visits
0,Вторник,16:00,922,2.0
1,Пятница,11:00,917,3.0
2,Пятница,12:00,907,1.0
3,Среда,15:00,906,1.0
4,Понедельник,16:00,882,5.0
5,Воскресенье,20:00,870,0.0
6,Понедельник,19:00,868,1.0
7,Четверг,16:00,864,6.0
8,Понедельник,20:00,852,2.0
9,Среда,17:00,849,1.0
10,Понедельник,15:00,848,5.0
11,Понедельник,17:00,845,2.0
12,Среда,20:00,844,1.0
13,Вторник,11:00,840,2.0
14,Вторник,12:00,840,2.0
15,Среда,16:00,838,4.0
16,Вторник,17:00,834,8.0
17,Понедельник,14:00,822,2.0
18,Воскресенье,19:00,819,1.0
19,Четверг,15:00,812,1.0
20,Четверг,12:00,808,5.0
21,Воскресенье,18:00,807,2.0
22,Среда,14:00,804,0.0
23,Понедельник,13:00,798,3.0
24,Четверг,17:00,796,2.0
25,Вторник,21:00,792,2.0
26,Среда,21:00,788,0.0
27,Вторник,13:00,787,3.0
28,Вторник,15:00,787,2.0
29,Среда,10:00,781,6.0
30,Вторник,20:00,767,2.0
31,Пятница,16:00,761,2.0
32,Воскресенье,17:00,761,1.0
33,Воскресенье,21:00,759,2.0
34,Суббота,21:00,752,0.0
35,Понедельник,21:00,751,2.0
36,Четверг,11:00,742,4.0
37,Среда,18:00,741,0.0
38,Четверг,13:00,741,6.0
39,Понедельник,11:00,739,1.0
40,Вторник,10:00,736,0.0
41,Понедельник,18:00,728,3.0
42,Четверг,14:00,723,1.0
43,Среда,19:00,720,1.0
44,Среда,12:00,716,7.0
45,Вторник,19:00,715,2.0
46,Пятница,13:00,713,0.0
47,Среда,11:00,708,6.0
48,Вторник,14:00,705,3.0
49,Понедельник,12:00,703,2.0
50,Среда,09:00,696,4.0
51,Воскресенье,22:00,692,1.0
52,Понедельник,10:00,691,3.0
53,Среда,13:00,690,3.0
54,Среда,22:00,689,0.0
55,Суббота,19:00,689,0.0
56,Пятница,14:00,686,2.0
57,Суббота,18:00,686,0.0
58,Суббота,20:00,679,0.0
59,Суббота,17:00,663,2.0
60,Четверг,18:00,649,4.0
61,Пятница,10:00,641,2.0
62,Вторник,18:00,635,0.0
63,Пятница,15:00,634,2.0
64,Пятница,09:00,625,4.0
65,Понедельник,22:00,621,0.0
66,Воскресенье,16:00,620,5.0
67,Вторник,22:00,619,0.0
68,Пятница,18:00,619,2.0
69,Пятница,17:00,618,1.0
70,Четверг,10:00,617,1.0
71,Воскресенье,15:00,617,3.0
72,Вторник,09:00,612,2.0
73,Пятница,19:00,611,3.0
74,Среда,08:00,598,0.0
75,Пятница,21:00,598,0.0
76,Четверг,21:00,594,3.0
77,Четверг,20:00,592,0.0
78,Суббота,16:00,588,2.0
79,Пятница,20:00,568,2.0
80,Воскресенье,14:00,568,2.0
81,Суббота,22:00,564,1.0
82,Четверг,19:00,555,0.0
83,Понедельник,09:00,554,1.0
84,Четверг,09:00,550,2.0
85,Четверг,22:00,544,2.0
86,Пятница,08:00,535,1.0
87,Вторник,08:00,512,2.0
88,Пятница,22:00,510,0.0
89,Суббота,15:00,499,0.0
90,Воскресенье,13:00,489,0.0
91,Четверг,08:00,477,0.0
92,Суббота,14:00,457,0.0
93,Понедельник,08:00,447,0.0
94,Среда,23:00,443,0.0
95,Суббота,13:00,439,0.0
96,Воскресенье,09:00,434,0.0
97,Вторник,23:00,431,2.0
98,Среда,07:00,416,0.0
99,Воскресенье,23:00,409,0.0
100,Суббота,08:00,407,2.0
101,Воскресенье,12:00,407,1.0
102,Воскресенье,08:00,386,0.0
103,Суббота,09:00,385,0.0
104,Четверг,23:00,382,0.0
105,Понедельник,23:00,377,0.0
106,Суббота,12:00,358,0.0
107,Пятница,23:00,353,0.0
108,Суббота,23:00,349,0.0
109,Воскресенье,11:00,348,0.0
110,Среда,00:00,347,0.0
111,Воскресенье,00:00,345,0.0
112,Суббота,11:00,344,1.0
113,Воскресенье,10:00,343,0.0
114,Вторник,07:00,342,2.0
115,Четверг,07:00,322,1.0
116,Пятница,07:00,321,0.0
117,Пятница,00:00,320,0.0
118,Суббота,07:00,312,0.0
119,Суббота,10:00,310,0.0
120,Воскресенье,07:00,303,1.0
121,Четверг,00:00,297,0.0
122,Вторник,00:00,281,0.0
123,Среда,06:00,254,0.0
124,Суббота,06:00,253,1.0
125,Понедельник,07:00,244,0.0
126,Понедельник,06:00,241,0.0
127,Суббота,00:00,241,0.0
128,Четверг,06:00,233,0.0
129,Понедельник,00:00,231,0.0
130,Вторник,06:00,213,0.0
131,Четверг,05:00,211,2.0
132,Суббота,05:00,211,0.0
133,Среда,05:00,205,1.0
134,Пятница,06:00,202,1.0
135,Воскресенье,06:00,179,0.0
136,Понедельник,05:00,167,0.0
137,Вторник,05:00,165,1.0
138,Воскресенье,05:00,159,1.0
139,Среда,01:00,148,1.0
140,Пятница,05:00,147,1.0
141,Пятница,01:00,145,2.0
142,Понедельник,01:00,143,0.0
143,Воскресенье,01:00,133,0.0
144,Понедельник,04:00,127,0.0
145,Четверг,01:00,126,0.0
146,Вторник,01:00,120,0.0
147,Суббота,01:00,115,0.0
148,Вторник,04:00,106,0.0
149,Среда,04:00,106,0.0
150,Суббота,04:00,94,0.0
151,Пятница,04:00,85,0.0
152,Суббота,03:00,82,1.0
153,Воскресенье,02:00,82,0.0
154,Четверг,04:00,81,0.0
155,Воскресенье,04:00,77,0.0
156,Понедельник,02:00,74,0.0
157,Суббота,02:00,74,0.0
158,Среда,02:00,73,0.0
159,Вторник,03:00,66,0.0
160,Четверг,02:00,66,1.0
161,Вторник,02:00,63,0.0
162,Пятница,02:00,61,1.0
163,Воскресенье,03:00,58,0.0
164,Четверг,03:00,57,0.0
165,Пятница,03:00,57,0.0
166,Среда,03:00,54,0.0
167,Понедельник,03:00,50,0.0
